ISO-3166-1;ISO-3166-2;Name1;Name2;Wikipedia;Type
MX;MOR;Morelos;Morelos;https://en.wikipedia.org/wiki/Morelos;state
MX;NAY;Nayarit;Nayarit;https://en.wikipedia.org/wiki/Nayarit;state
MX;NLE;"Nuevo León";"Nuevo León";https://en.wikipedia.org/wiki/Nuevo_Le%C3%B3n;state
MX;OAX;Oaxaca;Oaxaca;https://en.wikipedia.org/wiki/Oaxaca;state
MX;PUE;Puebla;Puebla;https://en.wikipedia.org/wiki/Puebla;state
MX;QUE;Querétaro;Querétaro;https://en.wikipedia.org/wiki/Quer%C3%A9taro;state
MX;ROO;"Quintana Roo";"Quintana Roo";https://en.wikipedia.org/wiki/Quintana_Roo;state
MX;SLP;"San Luis Potosí";"San Luis Potosí";https://en.wikipedia.org/wiki/San_Luis_Potos%C3%AD;state
MX;SIN;Sinaloa;Sinaloa;https://en.wikipedia.org/wiki/Sinaloa;state
MX;SON;Sonora;Sonora;https://en.wikipedia.org/wiki/Sonora;state
MX;TAB;Tabasco;Tabasco;https://en.wikipedia.org/wiki/Tabasco;state
MX;TAM;Tamaulipas;Tamaulipas;https://en.wikipedia.org/wiki/Tamaulipas;state
MX;TLA;Tlaxcala;Tlaxcala;https://en.wikipedia.org/wiki/Tlaxcala;state
MX;VER;Veracruz;Veracruz;https://en.wikipedia.org/wiki/Veracruz;state
MX;YUC;Yucatán;Yucatán;https://en.wikipedia.org/wiki/Yucat%C3%A1n;state
MX;ZAC;Zacatecas;Zacatecas;https://en.wikipedia.org/wiki/Zacatecas;state
MY;14;"Kuala Lumpur";"Wilayah Persekutuan Kuala Lumpur";https://en.wikipedia.org/wiki/Kuala_Lumpur;"federal territory"
MY;15;Labuan;"Wilayah Persekutuan Labuan";https://en.wikipedia.org/wiki/Labuan;"federal territory"
MY;16;Putrajaya;"Wilayah Persekutuan Putrajaya";https://en.wikipedia.org/wiki/Putrajaya;"federal territory"
MY;01;Johor;Johor;https://en.wikipedia.org/wiki/Johor;state
MY;02;Kedah;Kedah;https://en.wikipedia.org/wiki/Kedah;state
MY;03;Kelantan;Kelantan;https://en.wikipedia.org/wiki/Kelantan;state
MY;04;Malacca;Melaka;https://en.wikipedia.org/wiki/Malacca;state
MY;05;"Negeri Sembilan";"Negeri Sembilan";https://en.wikipedia.org/wiki/Negeri_Sembilan;state
MY;06;Pahang;Pahang;https://en.wikipedia.org/wiki/Pahang;state
MY;08;Perak;Perak;https://en.wikipedia.org/wiki/Perak;state
MY;09;Perlis;Perlis;https://en.wikipedia.org/wiki/Perlis;state
MY;07;Penang;"Pulau Pinang";https://en.wikipedia.org/wiki/Penang;state
MY;12;Sabah;Sabah;https://en.wikipedia.org/wiki/Sabah;state
MY;13;Sarawak;Sarawak;https://en.wikipedia.org/wiki/Sarawak;state
MY;10;Selangor;Selangor;https://en.wikipedia.org/wiki/Selangor;state
MY;11;Terengganu;Terengganu;https://en.wikipedia.org/wiki/Terengganu;state
